2026-07-08 09:55:38 | INFO | domnak | GET /api/v1/suppliers/Cement -> 200 (202ms)
2026-07-08 09:55:39 | INFO | domnak | User e61d1c07-a9fb-4d0d-8181-b5acf1b2129a clicked supplier d26d5d46-1a05-4dd8-bf36-1669550aaaea
2026-07-08 09:55:39 | INFO | domnak | POST /api/v1/suppliers/d26d5d46-1a05-4dd8-bf36-1669550aaaea/click -> 200 (343ms)
2026-07-08 09:55:40 | INFO | domnak | Quote dbfc55c0-3c5d-4e07-88e1-f04b95143d72 analyzed — 1 items
2026-07-08 09:55:40 | INFO | domnak | POST /api/v1/analysis/dbfc55c0-3c5d-4e07-88e1-f04b95143d72 -> 200 (1459ms)
2026-07-08 09:55:41 | INFO | domnak | GET /api/v1/analysis/dbfc55c0-3c5d-4e07-88e1-f04b95143d72 -> 200 (395ms)
2026-07-08 09:55:41 | INFO | domnak | DELETE /api/v1/line-items/822eef8b-f6f0-4f6b-b021-14d867fc983d -> 200 (534ms)
2026-07-08 09:55:42 | INFO | domnak | DELETE /api/v1/quotes/dbfc55c0-3c5d-4e07-88e1-f04b95143d72 -> 200 (413ms)
2026-07-08 09:58:48 | INFO | domnak | GET / -> 200 (6ms)
2026-07-08 09:58:49 | INFO | domnak | GET /health -> 200 (0ms)
2026-07-08 09:58:49 | INFO | domnak | POST /api/auth/login -> 404 (1ms)
2026-07-08 09:58:49 | INFO | domnak | GET /api/auth/me -> 404 (1ms)
2026-07-08 09:58:49 | INFO | domnak | POST /api/quotes/ -> 404 (1ms)
2026-07-08 09:58:49 | INFO | domnak | GET /api/quotes/ -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | GET /api/quotes/null -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | POST /api/line-items/ -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | GET /api/line-items/ -> 404 (1ms)
2026-07-08 09:58:49 | INFO | domnak | POST /api/estimator/ -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | POST /api/chat/chat/stream -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | GET /api/quotes/null/share -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | GET /api/quotes/null/report -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | DELETE /api/line-items/null -> 404 (0ms)
2026-07-08 09:58:49 | INFO | domnak | DELETE /api/quotes/null -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | GET / -> 200 (3ms)
2026-07-08 09:59:45 | INFO | domnak | GET /health -> 200 (0ms)
2026-07-08 09:59:45 | INFO | domnak | POST /api/auth/login -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | GET /api/auth/me -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | POST /api/quotes/ -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | GET /api/quotes/ -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | GET /api/quotes/null -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | POST /api/line-items/ -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | GET /api/line-items/ -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | POST /api/estimator/ -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | POST /api/chat/chat/stream -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | GET /api/quotes/null/share -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | GET /api/quotes/null/report -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | DELETE /api/line-items/null -> 404 (0ms)
2026-07-08 09:59:45 | INFO | domnak | DELETE /api/quotes/null -> 404 (0ms)
2026-07-08 10:00:57 | INFO | domnak | GET / -> 200 (2ms)
2026-07-08 10:00:57 | INFO | domnak | GET /health -> 200 (1ms)
2026-07-08 10:00:59 | INFO | domnak | GET /health/ready -> 200 (1275ms)
2026-07-08 10:00:59 | INFO | domnak | POST /api/v1/auth/signup -> 200 (511ms)
2026-07-08 10:01:00 | INFO | domnak | POST /api/v1/auth/login -> 200 (663ms)
2026-07-08 10:01:00 | INFO | domnak | GET /api/v1/auth/me -> 404 (287ms)
2026-07-08 10:01:00 | INFO | domnak | POST /api/v1/quotes/ -> 401 (131ms)
2026-07-08 10:01:00 | INFO | domnak | GET /api/v1/quotes/ -> 405 (0ms)
2026-07-08 10:01:01 | INFO | domnak | GET /api/v1/quotes/null -> 401 (129ms)
2026-07-08 10:01:01 | INFO | domnak | PATCH /api/v1/quotes/null -> 401 (145ms)
2026-07-08 10:01:01 | INFO | domnak | GET /api/v1/quotes/null/share -> 401 (128ms)
2026-07-08 10:01:01 | INFO | domnak | POST /api/v1/line-items/ -> 401 (131ms)
2026-07-08 10:01:01 | INFO | domnak | GET /api/v1/line-items/ -> 401 (128ms)
2026-07-08 10:01:01 | INFO | domnak | PATCH /api/v1/line-items/null -> 401 (127ms)
2026-07-08 10:01:01 | INFO | domnak | Estimate calculated: 120.0m² standard in phnom_penh
2026-07-08 10:01:01 | INFO | domnak | POST /api/v1/estimator/ -> 200 (2ms)
